,date,departure_delay,arrival_delay,open,high,low,close,volume,state,city,success,suicide
160,2015-06-10,12.2,8.16,84.8,85.88,84.42,85.45,1976819703.0,,,,
161,2015-06-11,13.52,9.99,85.66,86.24,85.17,85.68,1745311496.0,,,,
162,2015-06-12,14.18,11.51,85.35,85.79,84.76,85.17,1499123443.0,,,,
163,2015-06-13,11.06,5.32,,,,,,,,,
164,2015-06-14,13.5,9.74,,,,,,,,,
165,2015-06-15,24.47,21.21,84.64,85.32,83.98,84.79,1743053400.0,,,,
166,2015-06-16,20.51,16.56,84.71,85.59,84.38,85.22,1512577323.0,,,,
167,2015-06-17,22.99,18.41,85.4,86.02,84.69,85.43,1766063796.0,South Carolina,Charleston,1.0,0.0
168,2015-06-18,23.05,21.59,85.66,86.8,85.37,86.33,2006634045.0,,,,
169,2015-06-19,14.5,9.6,86.23,86.8,85.62,86.02,2610064204.0,,,,
170,2015-06-20,13.65,9.34,,,,,,,,,
171,2015-06-21,13.19,7.86,,,,,,,,,
172,2015-06-22,14.49,9.3,86.54,87.07,85.89,86.4,1739598518.0,Tennessee,Knoxville,1.0,0.0
173,2015-06-23,17.82,12.93,86.53,87.0,85.83,86.38,1716915015.0,Georgia,Macon,1.0,0.0
174,2015-06-24,16.5,11.71,86.23,86.64,85.35,85.61,1915836310.0,North Carolina,Charlotte,1.0,0.0
175,2015-06-25,12.87,8.62,85.8,86.35,85.02,85.42,1802460902.0,,,,
176,2015-06-26,14.65,12.03,85.64,86.15,84.86,85.42,2873914446.0,South Carolina,Warrenville,1.0,0.0
177,2015-06-27,15.75,12.21,,,,,,,,,
178,2015-06-28,12.4,7.08,,,,,,,,,
179,2015-06-29,7.97,2.69,84.65,85.27,83.4,83.57,2127817074.0,,,,
180,2015-06-30,14.16,11.05,84.31,84.82,83.4,83.97,2199840263.0,,,,
181,2015-07-01,16.7,12.59,84.55,85.21,83.69,84.49,1996963893.0,,,,
182,2015-07-02,11.99,8.05,84.68,85.15,83.87,84.41,1648163393.0,,,,
183,2015-07-03,8.21,1.74,,,,,,,,,
184,2015-07-04,1.46,-6.17,,,,,,,,,
185,2015-07-05,6.9,1.8,,,,,,,,,
186,2015-07-06,13.13,10.38,83.56,84.65,83.14,84.0,1882477496.0,,,,
187,2015-07-07,13.08,8.91,84.15,84.94,82.87,84.61,2438655346.0,,,,
188,2015-07-08,19.97,16.22,84.0,84.51,82.89,83.18,2106567658.0,,,,
189,2015-07-09,11.42,7.61,84.15,84.66,83.21,83.48,2016346330.0,,,,
190,2015-07-10,6.89,1.47,84.35,85.07,83.7,84.52,1751697289.0,,,,
191,2015-07-11,4.97,-2.06,,,,,,,,,
192,2015-07-12,7.19,0.83,,,,,,,,,
193,2015-07-13,19.14,15.77,85.15,85.93,84.62,85.49,1791514794.0,,,,
194,2015-07-14,18.65,16.26,85.53,86.37,85.07,85.88,1854798409.0,,,,
195,2015-07-15,17.46,13.95,85.89,86.46,85.1,85.66,1998072367.0,Texas,Houston,1.0,0.0
196,2015-07-16,8.21,2.84,86.08,86.78,85.44,86.25,2052157912.0,Tennessee,Chattanooga,2.0,0.0
197,2015-07-17,8.86,3.38,86.64,87.07,85.7,86.46,2014205117.0,,,,
198,2015-07-18,23.86,21.89,,,,,,,,,
199,2015-07-19,13.3,7.31,,,,,,Illinois,Aurora,0.0,0.0
200,2015-07-20,8.8,2.33,86.44,87.12,85.77,86.48,1918146532.0,,,,
201,2015-07-21,12.12,8.09,86.41,86.99,85.48,86.05,2057498540.0,,,,
202,2015-07-22,8.09,1.95,85.92,86.92,85.4,86.22,2330943067.0,,,,
203,2015-07-23,11.37,6.25,86.34,86.96,85.18,85.73,2283994854.0,Louisiana,Lafayette,1.0,0.0
204,2015-07-24,8.78,2.4,85.71,86.23,84.2,84.7,2265242563.0,,,,
205,2015-07-25,7.33,0.48,,,,,,,,,
206,2015-07-26,7.23,1.1,,,,,,,,,
207,2015-07-27,7.32,1.93,84.34,85.08,83.49,84.19,2306209451.0,,,,
208,2015-07-28,8.96,3.59,84.62,85.66,83.82,85.19,2340876020.0,,,,
209,2015-07-29,8.84,3.53,85.27,86.41,84.61,85.89,2315571449.0,,,,
210,2015-07-30,17.46,13.94,85.67,86.63,84.86,86.01,1984380147.0,,,,
211,2015-07-31,13.1,7.84,86.34,86.97,85.53,86.09,2051524948.0,,,,
212,2015-08-01,15.13,8.49,,,,,,Louisiana,New Orleans,1.0,0.0
213,2015-08-02,11.13,5.04,,,,,,New Mexico,Las Cruces,2.0,0.0
214,2015-08-03,11.12,5.45,86.13,86.69,85.14,85.95,1958179217.0,,,,
215,2015-08-04,9.83,5.15,85.99,86.96,85.3,86.08,2081871515.0,,,,
216,2015-08-05,7.97,2.75,86.8,87.73,85.94,86.69,2296546993.0,,,,
217,2015-08-06,10.03,6.24,86.76,87.33,85.13,86.0,2384402131.0,,,,
218,2015-08-07,10.62,5.89,85.9,86.54,84.85,85.77,1939667910.0,,,,
219,2015-08-08,7.41,0.18,,,,,,,,,
220,2015-08-09,8.49,1.75,,,,,,,,,
221,2015-08-10,16.35,12.8,86.35,87.32,85.83,86.72,1850221812.0,,,,
222,2015-08-11,18.64,15.49,86.21,86.96,85.4,86.21,2051896129.0,,,,
223,2015-08-12,6.56,0.06,85.64,86.61,84.51,86.21,2435678915.0,,,,
224,2015-08-13,10.41,4.49,86.16,87.06,85.42,86.2,1810545278.0,,,,
225,2015-08-14,10.96,5.34,86.13,86.97,85.64,86.57,1596056286.0,New Mexico,Las Cruces,0.0,0.0
226,2015-08-15,16.94,11.39,,,,,,,,,
